xmin,ymin,xmax,ymax,label,image_path,annotator
2121.0,3421.0000000000005,2149.0,3447.0000000000005,FalsePositive,C3_L3_F3542_T20240127_150009_135.jpg," sanacleto@ufl.edu, 24"
2121.0,3421.0000000000005,2149.0,3447.0000000000005,FalsePositive,C3_L3_F3542_T20240127_150009_135.jpg," sanacleto@ufl.edu, 24"
5032.000000000001,2075.0,5075.000000000001,2109.0,Aves,C1_L6_F6349_T20240127_154236_244.jpg," sanacleto@ufl.edu, 24"
5032.000000000001,2075.0,5075.000000000001,2109.0,Larus argentatus,C1_L6_F6349_T20240127_154236_244.jpg," sanacleto@ufl.edu, 24"
5329.999999999999,2071.0,5365.999999999999,2099.0,Aves,C1_L6_F6349_T20240127_154236_244.jpg," sanacleto@ufl.edu, 24"
5869.0,1740.0,5889.0,1772.0,Aves,C3_L2_F227_T20240127_133232_865.jpg," sanacleto@ufl.edu, 24"
6000.0,1554.0,6039.0,1572.0,Aves,C3_L2_F227_T20240127_133232_865.jpg," sanacleto@ufl.edu, 24"
2398.0,4418.0,2415.0,4446.0,FalsePositive,C3_L2_F227_T20240127_133232_865.jpg," sanacleto@ufl.edu, 24"
2398.0,4418.0,2415.0,4446.0,Larus argentatus,C3_L2_F227_T20240127_133232_865.jpg," sanacleto@ufl.edu, 24"
3662.0,3995.0,3689.0,4026.0000000000005,Aves,C2_L6_F6706_T20240127_154711_213.jpg," sanacleto@ufl.edu, 24"
5031.0,2074.0,5076.0,2111.0,Aves,C1_L6_F6349_T20240127_154236_244.jpg," sanacleto@ufl.edu, 24"
5328.0,2070.0,5366.000000000001,2100.0,Aves,C1_L6_F6349_T20240127_154236_244.jpg," sanacleto@ufl.edu, 24"
3662.0,3994.0000000000005,3689.0,4026.0000000000005,Alca torda,C2_L6_F6706_T20240127_154711_213.jpg," sanacleto@ufl.edu, 24"
3674.9999999999995,3990.0,3692.9999999999995,4000.0,FalsePositive,C2_L6_F6706_T20240127_154711_213.jpg," sanacleto@ufl.edu, 24"
5868.0,1740.0,5889.0,1772.9999999999998,Aves,C3_L2_F227_T20240127_133232_865.jpg," sanacleto@ufl.edu, 24"
5999.0,1553.0000000000002,6040.0,1573.0000000000002,Aves,C3_L2_F227_T20240127_133232_865.jpg," sanacleto@ufl.edu, 24"
2397.0,4418.0,2416.0,4447.0,FalsePositive,C3_L2_F227_T20240127_133232_865.jpg," sanacleto@ufl.edu, 24"
5031.0,2074.0,5076.0,2111.0,Aves,C1_L6_F6349_T20240127_154236_244.jpg," sanacleto@ufl.edu, 24"
5328.0,2070.0,5366.000000000001,2100.0,Aves,C1_L6_F6349_T20240127_154236_244.jpg," sanacleto@ufl.edu, 24"
3662.0,3994.0000000000005,3689.0,4026.0000000000005,Aves,C2_L6_F6706_T20240127_154711_213.jpg," sanacleto@ufl.edu, 24"
3674.9999999999995,3990.0,3692.9999999999995,4000.0,FalsePositive,C2_L6_F6706_T20240127_154711_213.jpg," sanacleto@ufl.edu, 24"
5868.0,1740.0,5889.0,1772.9999999999998,Aves,C3_L2_F227_T20240127_133232_865.jpg," sanacleto@ufl.edu, 24"
5999.0,1553.0000000000002,6040.0,1573.0000000000002,Aves,C3_L2_F227_T20240127_133232_865.jpg," sanacleto@ufl.edu, 24"
2397.0,4418.0,2416.0,4447.0,FalsePositive,C3_L2_F227_T20240127_133232_865.jpg," sanacleto@ufl.edu, 24"
2397.0,4418.0,2416.0,4447.0,Larus argentatus,C3_L2_F227_T20240127_133232_865.jpg," sanacleto@ufl.edu, 24"
254.0,1305.0,305.0,1330.9999999999998,FalsePositive,C2_L2_F515_T20240127_133614_568.jpg," sanacleto@ufl.edu, 24"
170.99999999999997,1871.0000000000002,215.99999999999997,1906.0,FalsePositive,C2_L2_F515_T20240127_133614_568.jpg," sanacleto@ufl.edu, 24"
6167.0,4819.0,6237.0,4850.0,FalsePositive,C5_L2_F980_T20240127_141946_582.jpg," sanacleto@ufl.edu, 24"
4156.0,1341.0,4223.999999999999,1366.0,FalsePositive,C3_L3_F2079_T20240127_144122_557.jpg," sanacleto@ufl.edu, 24"
5923.0,1908.0,5982.000000000001,1996.0,FalsePositive,C6_L1_F388_T20240127_141141_629.jpg," sanacleto@ufl.edu, 24"
1460.0000000000002,1277.0,1500.0000000000002,1309.0,FalsePositive,C5_L4_F4251_T20240127_151251_807.jpg," sanacleto@ufl.edu, 24"
2103.0,787.0,2125.0,810.0,Aves,C3_L2_F575_T20240127_133700_833.jpg," sanacleto@ufl.edu, 24"
42.00000000000001,304.0,77.0,325.0,Aves,C1_L2_F976_T20240127_134209_515.jpg," sanacleto@ufl.edu, 24"
113.00000000000001,337.0,148.0,354.99999999999994,Aves,C1_L2_F976_T20240127_134209_515.jpg," sanacleto@ufl.edu, 24"
333.0,294.0,361.00000000000006,334.0,FalsePositive,C1_L2_F976_T20240127_134209_515.jpg," sanacleto@ufl.edu, 24"
3026.0,3649.0,3065.0,3668.9999999999995,FalsePositive,C1_L2_F1216_T20240127_134514_325.jpg," sanacleto@ufl.edu, 24"
4826.0,494.0,4859.0,532.0,FalsePositive,C1_L2_F1216_T20240127_134514_325.jpg," sanacleto@ufl.edu, 24"
2055.0,173.0,2101.0,221.00000000000003,FalsePositive,C2_L2_F1313_T20240127_134629_091.jpg," sanacleto@ufl.edu, 24"
6077.0,1664.9999999999998,6125.0,1712.0,FalsePositive,C6_L6_F6424_T20240127_154334_244.jpg," sanacleto@ufl.edu, 24"
757.0,3582.0000000000005,836.0,3625.0,FalsePositive,C7_L2_F817_T20240127_134007_365.jpg," sanacleto@ufl.edu, 24"
121.0,3558.0,161.0,3586.9999999999995,FalsePositive,C7_L2_F817_T20240127_134007_365.jpg," sanacleto@ufl.edu, 24"
3695.9999999999995,4534.0,3758.0,4573.000000000001,FalsePositive,C5_L4_F4985_T20240127_152217_026.jpg," sanacleto@ufl.edu, 24"
4962.0,4433.0,5000.0,4465.0,FalsePositive,C5_L4_F4494_T20240127_151558_948.jpg," sanacleto@ufl.edu, 24"
5000.0,4434.0,5049.0,4462.0,FalsePositive,C5_L4_F4494_T20240127_151558_948.jpg," sanacleto@ufl.edu, 24"
6266.0,2836.0000000000005,6295.0,2912.0000000000005,FalsePositive,C1_L4_F5330_T20240127_152642_510.jpg," sanacleto@ufl.edu, 24"
1605.0,7.0,1636.0,41.0,FalsePositive,C6_L2_F1107_T20240127_134350_669.jpg," sanacleto@ufl.edu, 24"
299.0,279.0,321.0,298.0,FalsePositive,C6_L2_F1107_T20240127_134350_669.jpg," sanacleto@ufl.edu, 24"
