xmin,ymin,xmax,ymax,label,image_path,annotator,flight_name
5209.0,2850.0,5402.000000000001,2982.0,Laridae,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
6420.0,2588.9999999999995,6510.0,2647.9999999999995,Laridae,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
4341.0,2172.0,4462.0,2221.0,Laridae,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
4738.0,2407.0,4823.0,2478.9999999999995,Laridae,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
6514.000000000001,4201.000000000001,6670.000000000001,4291.0,Morus bassanus,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
5895.0,3590.0,5969.0,3686.0,Laridae,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
4394.0,5167.0,4623.0,5302.0,Morus bassanus,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
5783.0,3720.0,5861.0,3842.0,Laridae,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
3183.9999999999995,3423.0,3334.0,3498.0000000000005,Laridae,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
5611.0,4653.0,5686.0,4715.0,Morus bassanus,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
4476.0,2716.0,4548.0,2765.0,Laridae,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
6491.0,2317.0,6591.999999999999,2427.0,Laridae,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
3458.323226406067,4921.183638053466,3573.999999999995,5087.0000000000155,Laridae,NEAQ_20220614_00065.JPG,"Brier Klossing b.klossing@ufl.edu, 20",Whale camera edited
